Title,Links,Publication Date
"""Синара"" в третий раз стала обладателем Кубка России по мини-футболу",https://tass.ru/sport/17145477,"Sun, 26 Feb 2023 19:26:29 +0300"
"В Белом доме полагают, что мирный план КНР не учитывает позицию Украины",https://tass.ru/mezhdunarodnaya-panorama/17145455,"Sun, 26 Feb 2023 19:21:38 +0300"
На востоке Мексики в результате пожара на НПЗ погибли два человека,https://tass.ru/proisshestviya/17145443,"Sun, 26 Feb 2023 19:21:18 +0300"
В Ленинградской области ликвидировали пожар на складе бытовой химии,https://tass.ru/proisshestviya/17145403,"Sun, 26 Feb 2023 19:14:04 +0300"
"""Тинькофф инвестиции"" приостановят торги евро с 27 февраля",https://tass.ru/ekonomika/17145437,"Sun, 26 Feb 2023 19:13:33 +0300"
"На Украине заявили, что компания из ФРГ предложила Киеву совместно производить оружие",https://tass.ru/mezhdunarodnaya-panorama/17145415,"Sun, 26 Feb 2023 19:12:02 +0300"
"""Тинькофф инвестиции"" приостановили торговлю иностранными ценными бумагами",https://tass.ru/ekonomika/17145431,"Sun, 26 Feb 2023 19:11:22 +0300"
"Клуб НХЛ ""Монреаль"" обменял Дадонова в ""Даллас"" на Гурьянова",https://tass.ru/sport/17145409,"Sun, 26 Feb 2023 19:10:29 +0300"
В России могут увеличить штраф за проход по железнодорожным путям в неустановленном месте,https://tass.ru/obschestvo/17145397,"Sun, 26 Feb 2023 19:05:02 +0300"
Президент Республики Сербской потребовал закрытия офиса высокого представителя в БиГ,https://tass.ru/mezhdunarodnaya-panorama/17145377,"Sun, 26 Feb 2023 18:58:27 +0300"
"В США заявили, что беседа Байдена и Си Цзиньпина может состояться в обозримом будущем",https://tass.ru/mezhdunarodnaya-panorama/17145371,"Sun, 26 Feb 2023 18:53:45 +0300"
В Курске представят экспонаты из фондов студии военных художников имени Грекова,https://tass.ru/v-strane/17145369,"Sun, 26 Feb 2023 18:48:04 +0300"
На трассе М-11 возобновили движение в сторону Петербурга после массового ДТП,https://tass.ru/proisshestviya/17145361,"Sun, 26 Feb 2023 18:45:20 +0300"
На авиабазе Рамштайн проходит массовая демонстрация против поставок оружия Украине,https://tass.ru/mezhdunarodnaya-panorama/17145349,"Sun, 26 Feb 2023 18:42:37 +0300"
МИД Ирана: нормализация отношений между Тегераном и Эр-Риядом принесет пользу региону,https://tass.ru/mezhdunarodnaya-panorama/17145341,"Sun, 26 Feb 2023 18:40:34 +0300"
Кандидат в сборную России по BMX умер в возрасте 13 лет,https://tass.ru/sport/17145311,"Sun, 26 Feb 2023 18:33:30 +0300"
"""Челси"" уступил ""Тоттенхэму"" в чемпионате Англии и продлил серию без побед до шести матчей",https://tass.ru/sport/17145305,"Sun, 26 Feb 2023 18:32:40 +0300"
Патриарх Кирилл попросил у всех верующих прощения и благословил их на Великий пост,https://tass.ru/obschestvo/17145279,"Sun, 26 Feb 2023 18:31:58 +0300"
"Глава ЦРУ считает, что только военные успехи Киева могут приблизить переговоры по Украине",https://tass.ru/mezhdunarodnaya-panorama/17145259,"Sun, 26 Feb 2023 18:29:12 +0300"
Глава МИД Саудовской Аравии впервые с момента установления дипотношений посетил Украину,https://tass.ru/mezhdunarodnaya-panorama/17145271,"Sun, 26 Feb 2023 18:28:29 +0300"
Число погибших в результате землетрясений в Турции достигло 44 374,https://tass.ru/proisshestviya/17145293,"Sun, 26 Feb 2023 18:27:34 +0300"
"Во Франции считают, что новые санкции против России говорят о полном провале политики ЕС",https://tass.ru/mezhdunarodnaya-panorama/17145239,"Sun, 26 Feb 2023 18:26:16 +0300"
Guardian: в Германии эксгумировали тело поджигателя Рейхстага Маринуса ван дер Люббе,https://tass.ru/obschestvo/17145217,"Sun, 26 Feb 2023 18:25:35 +0300"
Саудовская Аравия выделит $410 млн на гуманитарную помощь Украине,https://tass.ru/mezhdunarodnaya-panorama/17145225,"Sun, 26 Feb 2023 18:19:47 +0300"
Король Иордании призвал к возобновлению палестино-израильских переговоров о мире,https://tass.ru/mezhdunarodnaya-panorama/17145185,"Sun, 26 Feb 2023 18:18:37 +0300"
В Новосибирске полиция задержала подростков в ТЦ,https://tass.ru/proisshestviya/17145203,"Sun, 26 Feb 2023 18:18:03 +0300"
Глава ЦРУ заявил о важности сохранения открытыми линий связи с Россией,https://tass.ru/mezhdunarodnaya-panorama/17145153,"Sun, 26 Feb 2023 18:04:17 +0300"
"Вучич заявил, что Госдеп настаивает на формировании Сообщества сербских муниципалитетов",https://tass.ru/mezhdunarodnaya-panorama/17145141,"Sun, 26 Feb 2023 18:02:33 +0300"
В ДТП в Татарстане погибли два человека,https://tass.ru/proisshestviya/17145149,"Sun, 26 Feb 2023 18:01:35 +0300"
"Помощник Байдена не смог сказать, поддержат ли США боевые действия Украины в Крыму",https://tass.ru/mezhdunarodnaya-panorama/17145129,"Sun, 26 Feb 2023 17:58:06 +0300"
Записавших обращение мобилизованных из Иркутской области переведут к другому месту службы,https://tass.ru/armiya-i-opk/17145113,"Sun, 26 Feb 2023 17:55:39 +0300"
Пианисты из России заняли призовые места на конкурсе в Японии,https://tass.ru/kultura/17145119,"Sun, 26 Feb 2023 17:53:22 +0300"
Комиссия кабмина Израиля одобрила законопроект о смертной казни для террористов,https://tass.ru/mezhdunarodnaya-panorama/17145093,"Sun, 26 Feb 2023 17:43:27 +0300"
СМИ: в Турции арестовали 188 застройщиков и подрядчиков после землетрясений,https://tass.ru/proisshestviya/17145099,"Sun, 26 Feb 2023 17:43:21 +0300"
СМИ: заявления Байдена о демократии выглядят устаревшими на фоне нового миропорядка,https://tass.ru/mezhdunarodnaya-panorama/17145081,"Sun, 26 Feb 2023 17:39:31 +0300"
В Женеве отменили концерт рэпера Ломепаля из-за террористической угрозы,https://tass.ru/obschestvo/17145073,"Sun, 26 Feb 2023 17:38:55 +0300"
В Италии задержали подозреваемого в перевозке мигрантов после ЧП с 45 погибшими,https://tass.ru/mezhdunarodnaya-panorama/17145063,"Sun, 26 Feb 2023 17:32:17 +0300"
В США не пришли к окончательному выводу о происхождении коронавируса,https://tass.ru/mezhdunarodnaya-panorama/17145049,"Sun, 26 Feb 2023 17:29:12 +0300"
"В США считают, что КНР не приняла окончательного решения о военной помощи России",https://tass.ru/mezhdunarodnaya-panorama/17145037,"Sun, 26 Feb 2023 17:27:26 +0300"
В РПЦ призвали молодежь Донбасса быть носителем мировоззрения о единстве региона с Россией,https://tass.ru/obschestvo/17145027,"Sun, 26 Feb 2023 17:23:47 +0300"
"Выручка московских IT-компаний выросла на 17,5% в 2022 году",https://tass.ru/ekonomika/17145021,"Sun, 26 Feb 2023 17:22:10 +0300"
В ДТП в Якутии пострадали шесть человек,https://tass.ru/proisshestviya/17145017,"Sun, 26 Feb 2023 17:18:40 +0300"
"В США заявили, что вопрос о поставках Украине F-16 не будет решен в обозримой перспективе",https://tass.ru/mezhdunarodnaya-panorama/17145013,"Sun, 26 Feb 2023 17:11:35 +0300"
Победителями фестиваля снежных фигур в Поморье стали команды из Вельска и Каргополя,https://tass.ru/v-strane/17145009,"Sun, 26 Feb 2023 17:11:16 +0300"
"В Молдавии заявили, что не обсуждают вопрос вступления в НАТО",https://tass.ru/mezhdunarodnaya-panorama/17144999,"Sun, 26 Feb 2023 17:07:12 +0300"
Назван еще один возможный соперник сборной России в международном матче,https://lenta.ru/news/2023/02/26/football_iraq/,"Sun, 26 Feb 2023 23:16:06 +0300"
В Британии обвинили Украину в масштабном отмывании денег,https://lenta.ru/news/2023/02/26/laundering/,"Sun, 26 Feb 2023 22:59:00 +0300"
В МИД России усомнились в нейтралитете Швейцарии,https://lenta.ru/news/2023/02/26/zaxarova_shwitz/,"Sun, 26 Feb 2023 22:54:00 +0300"
В США назвали преступной отправку Украине 100 миллиардов долларов военной помощи,https://lenta.ru/news/2023/02/26/crime/,"Sun, 26 Feb 2023 22:32:00 +0300"
Тысячи человек потребовали закрыть американскую базу Рамштайн в Германии,https://lenta.ru/news/2023/02/26/ramstain/,"Sun, 26 Feb 2023 22:30:00 +0300"
Фанаты турецкого клуба устроили акцию помощи пострадавшим в землетрясении детям,https://lenta.ru/news/2023/02/26/fans/,"Sun, 26 Feb 2023 22:28:00 +0300"
В США оценили необходимость военных контактов с Китаем,https://lenta.ru/news/2023/02/26/china/,"Sun, 26 Feb 2023 22:21:00 +0300"
США допустили возможность пересмотра вопроса принадлежности Крыма в будущем,https://lenta.ru/news/2023/02/26/crimea_future/,"Sun, 26 Feb 2023 22:08:12 +0300"
Боррель заявил о недостающих позициях в плане Китая по урегулированию на Украине,https://lenta.ru/news/2023/02/26/borrell_plan/,"Sun, 26 Feb 2023 22:07:26 +0300"
В Белоруссии опровергли сообщения о перестрелке на границе с Украиной,https://lenta.ru/news/2023/02/26/bel/,"Sun, 26 Feb 2023 21:50:37 +0300"
В США рассказали о потерях Польши на Украине,https://lenta.ru/news/2023/02/26/macgregor/,"Sun, 26 Feb 2023 21:48:00 +0300"
Германия решила восполнить свои военные запасы,https://lenta.ru/news/2023/02/26/vospolnenie/,"Sun, 26 Feb 2023 21:48:00 +0300"
Кондолиза Райс усомнилась в будущем вступлении Украины в НАТО,https://lenta.ru/news/2023/02/26/rais_nato/,"Sun, 26 Feb 2023 21:28:37 +0300"
Кондолиза Райс заявила об отставании США в предоставлении Украине помощи,https://lenta.ru/news/2023/02/26/time/,"Sun, 26 Feb 2023 21:27:47 +0300"
Во Франции заявили о провале антироссийских санкций,https://lenta.ru/news/2023/02/26/against/,"Sun, 26 Feb 2023 21:19:00 +0300"
Появились подробности о выходе Костомарова из комы,https://lenta.ru/news/2023/02/26/roman/,"Sun, 26 Feb 2023 21:17:12 +0300"
Посол России отреагировал на заявление премьера Канады о принадлежности Крыма,https://lenta.ru/news/2023/02/26/trudo/,"Sun, 26 Feb 2023 21:09:37 +0300"
Зеленский подписал указы о введении новых санкций против россиян,https://lenta.ru/news/2023/02/26/new_sanc/,"Sun, 26 Feb 2023 21:07:00 +0300"
В СК отреагировали на массовые задержания в российском торговом центре,https://lenta.ru/news/2023/02/26/galery/,"Sun, 26 Feb 2023 20:56:27 +0300"
Врач предупредила о вероятности для Саакашвили оказаться в реанимации,https://lenta.ru/news/2023/02/26/saakashvili/,"Sun, 26 Feb 2023 20:50:16 +0300"
